,Unnamed: 0,rep,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
29,149,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,9.0,wrist+l_shoulder+r_shoulder+wrist_depth,600,False,False,0.3022501972004317,0.2218243388624177,0.1774579922869079,0.1349610947131184,[],[]
30,190,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,0.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.1321362196327109,0.122837776020763,0.2410774803002189,0.1187301628122468,[],[]
31,191,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,1.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.0878744513387503,0.0878744513387503,0.0973377637133089,0.0752037775356858,[],[]
32,192,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,2.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.0904986596668324,0.0904986596668324,0.256560101258288,0.1074066772513566,[],[]
33,193,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,3.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.0878327876472395,0.0861083188078431,0.2535939714048496,0.1170705706759781,[],[]
34,194,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,4.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.0802322198059995,0.0781898510595276,0.376603835849702,0.2553611400922789,[],[]
35,195,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,5.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.2163658730535134,0.0921576517108743,0.0478140202073111,0.0460174866407775,[],[]
36,196,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,6.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.0809816851901609,0.0781183001895568,0.370917445659616,0.241502100660089,[],[]
37,197,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,7.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.2783377686469486,0.1227306191698369,0.1360323596479265,0.0622462674317043,[],[]
38,198,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,8.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.2394895238453855,0.1311287035790909,0.1367076591788305,0.1245148877385682,[],[]
39,199,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,9.0,wrist+l_shoulder+r_shoulder+wrist_depth,1000,False,False,0.2567766438290667,0.0926293369284536,0.2963446764768635,0.0812517791492243,[],[]
40,240,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,0.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.2371080156555091,0.130564466977166,0.2626819781308996,0.0960010588285618,[],[]
41,241,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,1.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.57921027557692,0.3263883820831294,0.1085747543271566,0.0576419965126395,"['outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20']",[]
42,242,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,2.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.5044258599605859,0.3418019395296922,0.1329043034538208,0.1222334519406316,"['outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20']","['outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']"
43,243,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,3.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.1153663355726199,0.0886771834545465,0.1162494749122959,0.1162494749122959,[],"['outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21', 'outputs/run-grasp-with-agent/_June07_17-21']"
44,244,0,FuseConfig.W_D_L_R_FILM,False,Vision_Random,4.0,wrist+l_shoulder+r_shoulder+wrist_depth,2000,False,False,0.413518374988264,0.2160669552400326,0.2649937295898341,0.2436125132897519,"['outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20', 'outputs/run-grasp-with-agent/_June07_17-20']",[]
