epoch,minibatch_size,learning_rate,demo_count,task_name,final_dists,has_reached,final_dist_avg
800,32,0.005,1,ReachObs_RandomStatic,"[0.64141465 0.40736272 0.09602683 0.24553745 0.48250585 0.70650815 0.4574408  0.39576679 0.26657765 0.28867813]",[False False  True False False False False False False False],0.398781902
800,32,0.005,5,ReachObs_RandomStatic,"[0.37472887 0.35629465 0.38788075 0.09732228 0.35419951 0.36104333 0.35949831 0.35952933 0.07012697 0.35803487]",[False False False  True False False False False  True False],0.307865887
800,32,0.005,10,ReachObs_RandomStatic,"[0.35761255 0.36177589 0.35415254 0.35542684 0.36193624 0.35776949 0.35524393 0.36172037 0.35577483 0.35910559]",[False False False False False False False False False False],0.358051827
800,32,0.001,1,ReachObs_RandomStatic,"[0.129525   0.44055447 1.0187954  0.48095035 0.14228872 0.57369664 0.74901498 0.30399478 1.00717461 0.32798231]",[False False False False False False False False False False],0.5173977260000001
800,32,0.001,5,ReachObs_RandomStatic,"[0.2148857  0.57865854 0.8331141  0.3270704  0.45565351 0.21880306 0.41613194 0.13871555 0.16073571 0.51453858]",[False False False False False False False False False False],0.385830709
800,32,0.001,10,ReachObs_RandomStatic,"[0.30611507 0.86340281 0.49586074 0.13017134 0.62529041 0.08413191 0.36562202 0.64227759 0.87401155 0.11002027]",[False False False False False  True False False False  True],0.4496903709999998
800,32,0.0001,1,ReachObs_RandomStatic,"[0.46342631 0.46143597 0.07456701 0.3134643  0.64863791 0.40433605 0.37019853 1.16767867 0.09739819 0.10145567]",[False False  True False False False False False False False],0.410259861
800,32,0.0001,5,ReachObs_RandomStatic,"[0.24010046 0.78656513 0.60785866 0.30568895 0.39837038 0.49138183 0.21452308 0.51155927 0.66256435 0.32346997]",[False False False False False False False False False False],0.454208208
800,32,0.0001,10,ReachObs_RandomStatic,"[0.45203505 0.54177681 0.24213363 0.06492776 0.72988915 0.37402637 0.66246134 0.74807798 1.03721716 0.18094307]",[False False False  True False False False False False False],0.503348832
800,64,0.005,1,ReachObs_RandomStatic,"[0.25608691 0.51181416 0.64700696 0.58443631 0.25170969 0.59567264 0.64341461 0.50634554 1.02683407 0.8405646 ]",[False False False False False False False False False False],0.5863885489999999
800,64,0.005,5,ReachObs_RandomStatic,"[0.63252174 0.21872399 0.72884862 0.39647019 0.22083997 0.18756267 0.26621808 0.09810466 0.54856571 1.08686386]",[False False False False False False False  True False False],0.438471949
800,64,0.005,10,ReachObs_RandomStatic,"[0.55669204 0.35184909 0.36193361 0.46611682 0.30406428 0.36065787 0.36080607 0.36271533 0.35583871 0.50157578]",[False False False False False False False False False False],0.3982249599999999
800,64,0.001,1,ReachObs_RandomStatic,"[0.326474   0.64985453 0.77809889 1.1009851  0.27688139 0.13190732 0.07804822 0.07137646 1.26842403 0.07908698]",[False False False False False False  True  True False  True],0.4761136919999999
800,64,0.001,5,ReachObs_RandomStatic,"[0.42458186 0.52830386 0.24971787 0.41500421 0.55464354 0.4218501 0.51439259 0.1119733  0.08332333 0.20279208]",[False False False False False False False False  True False],0.350658274
800,64,0.001,10,ReachObs_RandomStatic,"[0.71786654 0.41355992 0.25952092 0.89537753 0.12080485 0.56303622 0.69207959 0.33523619 0.77599149 0.59458981]",[False False False False False False False False False False],0.5368063060000001
800,64,0.0001,1,ReachObs_RandomStatic,"[1.00815521 0.07582296 0.22494737 0.49576171 0.28342298 1.05777469 0.57147846 0.30756969 0.08801182 0.08364304]",[False False False False False False False False  True False],0.4196587930000001
800,64,0.0001,5,ReachObs_RandomStatic,"[0.38378321 0.70114985 0.1005994  0.19051302 0.70865509 0.8102789 0.39058367 0.07557426 0.38550957 0.24418076]",[False False False False False False False  True False False],0.399082773
800,64,0.0001,10,ReachObs_RandomStatic,"[0.21571456 0.23378007 0.5602651  0.07361294 0.7210159  0.52706141 0.62432758 0.68514138 0.6956775  0.07051113]",[False False False False False False False False False  True],0.4407107569999999
1000,32,0.005,1,ReachObs_RandomStatic,"[1.06015421 0.43047934 0.19253099 0.16232556 1.12025725 0.44720708 0.31186069 1.25111934 0.37070596 0.0905808 ]",[False False False False False False False False False  True],0.5437221219999999
1000,32,0.005,5,ReachObs_RandomStatic,"[0.50214145 0.52621762 0.43875062 0.54293751 0.40632675 0.36212356 0.35799293 0.70657311 0.36326335 0.43549688]",[False False False False False False False False False False],0.4641823779999999
1000,32,0.005,10,ReachObs_RandomStatic,"[0.40933131 0.35936042 0.3613672  0.3562451  0.3552747  0.35782483 0.3549443  0.44507003 0.35513155 0.36229949]",[False False False False False False False False False False],0.3716848929999999
1000,32,0.001,1,ReachObs_RandomStatic,"[0.08278529 0.4708173  0.46054334 0.07352115 0.72978783 0.27793254 0.45256188 0.56801196 0.76356076 0.16830917]",[False False False  True False False False False False False],0.404783122
1000,32,0.001,5,ReachObs_RandomStatic,"[0.53159934 0.90354506 0.87726532 0.18124882 0.34217116 0.08127887 0.73657077 0.36513377 0.61978038 0.14713054]",[False False False False False False False False False False],0.478572403
1000,32,0.001,10,ReachObs_RandomStatic,"[0.13061212 0.29226196 0.46950304 0.07134585 0.22182922 0.39760911 0.75652983 0.19931833 0.48158807 0.41790391]",[False False False False False False False False False False],0.343850144
