,task_name,setting_rep,train_rep,cam_type,demo_count,max_eplen,epochs,is_success,min_distance,final_distance,gripper_image_paths
104,Vision_Random,10,4,wrist,10,demo_max,1000,False,0.3757059052657258,0.3934199023396365,[]
105,Vision_Random,10,5,wrist,10,demo_max,1000,True,0.09646334573345254,0.10080271907954415,['outputs/run-grasp-with-agent/_May14_12-42/10']
106,Vision_Random,10,6,wrist,10,demo_max,1000,True,0.100823645540598,0.100823645540598,['outputs/run-grasp-with-agent/_May14_12-42/10']
107,Vision_Random,10,7,wrist,10,demo_max,1000,True,0.08860757551277615,0.08860757551277615,['outputs/run-grasp-with-agent/_May14_12-42/10']
108,Vision_Random,10,8,wrist,10,demo_max,1000,False,0.1010026801250162,0.42312015727043695,[]
109,Vision_Random,10,9,wrist,10,demo_max,1000,True,0.09952628211955235,0.10442094039052405,['outputs/run-grasp-with-agent/_May14_12-42/10']
110,Vision_Random,11,0,wrist,10,demo_max,1000,False,0.23073359386523556,0.23073359386523556,[]
111,Vision_Random,11,1,wrist,10,demo_max,1000,True,0.10566146264777408,0.10566146264777408,['outputs/run-grasp-with-agent/_May14_12-44/11']
112,Vision_Random,11,2,wrist,10,demo_max,1000,True,0.09389223848757788,0.09389223848757788,['outputs/run-grasp-with-agent/_May14_12-44/11']
113,Vision_Random,11,3,wrist,10,demo_max,1000,False,0.27978880030211045,0.4118684372276931,[]
114,Vision_Random,11,4,wrist,10,demo_max,1000,True,0.09860333354913951,0.09860333354913951,['outputs/run-grasp-with-agent/_May14_12-44/11']
115,Vision_Random,11,5,wrist,10,demo_max,1000,False,0.2427657324477866,0.25855837616476324,[]
116,Vision_Random,11,6,wrist,10,demo_max,1000,False,0.3867537496984925,0.5024567301370738,[]
117,Vision_Random,11,7,wrist,10,demo_max,1000,True,0.09656865470747471,0.09835735105120844,['outputs/run-grasp-with-agent/_May14_12-44/11']
118,Vision_Random,11,8,wrist,10,demo_max,1000,False,0.29635560623236074,0.38169653835780365,[]
119,Vision_Random,11,9,wrist,10,demo_max,1000,True,0.10251306364403545,0.10251306364403545,['outputs/run-grasp-with-agent/_May14_12-44/11']
120,Vision_Random,12,0,wrist,10,demo_max,1000,False,0.36202918808100143,0.5528118857266073,[]
121,Vision_Random,12,1,wrist,10,demo_max,1000,True,0.0918973081385894,0.09556617854548376,['outputs/run-grasp-with-agent/_May14_12-45/12']
122,Vision_Random,12,2,wrist,10,demo_max,1000,False,0.07985131141197165,0.07994571897837752,[]
123,Vision_Random,12,3,wrist,10,demo_max,1000,True,0.08185058945237199,0.08185058945237199,['outputs/run-grasp-with-agent/_May14_12-45/12']
124,Vision_Random,12,4,wrist,10,demo_max,1000,False,0.10878309599263153,0.3993144313650495,[]
125,Vision_Random,12,5,wrist,10,demo_max,1000,False,0.08144711936878937,0.08188974346935395,[]
126,Vision_Random,12,6,wrist,10,demo_max,1000,False,0.4868211497981238,0.6614081880922569,[]
127,Vision_Random,12,7,wrist,10,demo_max,1000,False,0.17913073072545918,0.19949738095932465,[]
128,Vision_Random,12,8,wrist,10,demo_max,1000,False,0.11395679893969946,0.37025127968079824,[]
129,Vision_Random,12,9,wrist,10,demo_max,1000,False,0.19595891449584632,0.20303073610931507,[]
130,Vision_Random,13,0,wrist,10,demo_max,1000,False,0.07778648788793456,0.07841230751478546,[]
131,Vision_Random,13,1,wrist,10,demo_max,1000,True,0.09947724767896485,0.10137820642156779,['outputs/run-grasp-with-agent/_May14_12-46/13']
132,Vision_Random,13,2,wrist,10,demo_max,1000,False,0.2808798536875475,0.37931381917948714,[]
133,Vision_Random,13,3,wrist,10,demo_max,1000,False,0.3089107984768041,0.4153311827710397,[]
134,Vision_Random,13,4,wrist,10,demo_max,1000,False,0.08446998494829612,0.08582673883180603,[]
135,Vision_Random,13,5,wrist,10,demo_max,1000,False,0.2368356015415238,0.48631450388665304,[]
136,Vision_Random,13,6,wrist,10,demo_max,1000,False,0.35569083216536157,0.5109508358712326,[]
137,Vision_Random,13,7,wrist,10,demo_max,1000,True,0.08795066866546669,0.08795066866546669,['outputs/run-grasp-with-agent/_May14_12-46/13']
138,Vision_Random,13,8,wrist,10,demo_max,1000,False,0.15783389945248685,0.367136624761196,[]
139,Vision_Random,13,9,wrist,10,demo_max,1000,True,0.07956296631035567,0.07956296631035567,['outputs/run-grasp-with-agent/_May14_12-46/13']
140,Vision_Random,14,0,wrist,10,demo_max,1000,False,0.47496417414418873,0.5805980859900921,[]
141,Vision_Random,14,1,wrist,10,demo_max,1000,False,0.2103608209498943,0.4217294375360831,[]
142,Vision_Random,14,2,wrist,10,demo_max,1000,False,0.18447364324459106,0.1878273895333349,[]
143,Vision_Random,14,3,wrist,10,demo_max,1000,False,0.30024421835727116,0.4997453407382777,[]
144,Vision_Random,14,4,wrist,10,demo_max,1000,True,0.08488685530280134,0.08488685530280134,['outputs/run-grasp-with-agent/_May14_12-47/14']
145,Vision_Random,14,5,wrist,10,demo_max,1000,True,0.08709001698369703,0.08709001698369703,['outputs/run-grasp-with-agent/_May14_12-48/14']
146,Vision_Random,14,6,wrist,10,demo_max,1000,True,0.08708875726431158,0.08903616906705214,['outputs/run-grasp-with-agent/_May14_12-48/14']
147,Vision_Random,14,7,wrist,10,demo_max,1000,False,0.2614677240727068,0.30020459837915875,[]
148,Vision_Random,14,8,wrist,10,demo_max,1000,False,0.3744472540361093,0.4836835051059809,[]
149,Vision_Random,14,9,wrist,10,demo_max,1000,False,0.14884628509991676,0.20965618161720206,[]
