,task_name,cam_type,epochs,demo_count,max_eplen,is_success,min_distance,final_distance,dataset_type
89,Reach_SideLeft,wrist,3000,1,54,False,0.6371139555256708,0.6371139555256708,demo
90,Reach_SideLeft,wrist,4000,1,54,False,0.5818702292406414,0.5818702292406414,demo
91,Reach_SideLeft,wrist,5000,1,54,False,0.5107168717426195,0.5107168717426195,demo
92,Reach_SideLeft,wrist,10000,1,54,False,0.5646927324417259,0.5646927324417259,demo
93,Reach_SideLeft,wrist,20000,1,54,False,0.6097281415126037,0.6097281415126037,demo
94,Reach_SideLeft,wrist,50000,1,54,False,0.5598864327969953,0.5598864327969953,demo
95,Reach_SideRight,wrist,1,1,53,False,0.6644500023179661,0.7101443958417075,demo
96,Reach_SideRight,wrist,2,1,53,False,0.5278243704158647,0.5278243704158647,demo
97,Reach_SideRight,wrist,10,1,53,False,0.26138617011504994,0.26138617011504994,demo
98,Reach_SideRight,wrist,50,1,53,True,0.11254283343263942,0.11254283343263942,demo
99,Reach_SideRight,wrist,100,1,53,False,0.1893060261031317,0.193898827865688,demo
100,Reach_SideRight,wrist,200,1,53,True,0.11984524227559074,0.11984524227559074,demo
101,Reach_SideRight,wrist,400,1,53,False,0.5998355784273558,0.5998355784273558,demo
102,Reach_SideRight,wrist,500,1,53,False,0.48811513775606175,0.48811513775606175,demo
103,Reach_SideRight,wrist,600,1,53,False,0.6217213500163175,0.6217213500163175,demo
104,Reach_SideRight,wrist,800,1,53,False,0.559913235741087,0.559913235741087,demo
105,Reach_SideRight,wrist,1000,1,53,False,0.5119878688770559,0.5119878688770559,demo
106,Reach_SideRight,wrist,1500,1,53,False,0.5036449231266066,0.5036449231266066,demo
107,Reach_SideRight,wrist,2000,1,53,False,0.5007134291220272,0.5007134291220272,demo
108,Reach_SideRight,wrist,3000,1,53,False,0.4692611954100713,0.4692611954100713,demo
109,Reach_SideRight,wrist,4000,1,53,False,0.5151678526644606,0.5151678526644606,demo
110,Reach_SideRight,wrist,5000,1,53,False,0.5275266050401388,0.5275266050401388,demo
111,Reach_SideRight,wrist,10000,1,53,False,0.43807552821896145,0.43807552821896145,demo
112,Reach_SideRight,wrist,20000,1,53,False,0.47385634600676224,0.47385634600676224,demo
113,Reach_SideRight,wrist,50000,1,53,False,0.37105337573994174,0.37105337573994174,demo
