,task_name,cam_type,epochs,demo_count,max_eplens,done_count,min_distance,final_distance,dataset_type,mbsize
83,ReachObs_Random,wrist+r_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.6095498106910461,0.9405942682430573,obs,100
84,ReachObs_Random,wrist+r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.41978584696753946,0.7271408738832202,obs,40
85,ReachObs_Random,wrist+r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.3736981019786508,0.7356332076079237,obs,64
86,ReachObs_Random,wrist+r_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.3243319275684934,0.6114287062859936,obs,100
87,ReachObs_Random,wrist+r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4036414171745458,0.7406828330229416,obs,40
88,ReachObs_Random,wrist+r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.3380408472567086,0.5540508563139748,obs,64
89,ReachObs_Random,wrist+r_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.32108592081006704,0.5697409675359411,obs,100
90,ReachObs_Random,wrist+l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.20076857620580632,0.2208327065182219,obs,40
91,ReachObs_Random,wrist+l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.3857415385780273,0.44775180459012737,obs,64
92,ReachObs_Random,wrist+l_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.481000933982566,0.5589858856224958,obs,100
93,ReachObs_Random,wrist+l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.2734707743765816,0.3765384091129058,obs,40
94,ReachObs_Random,wrist+l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.417400489013296,0.48459513724280046,obs,64
95,ReachObs_Random,wrist+l_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.5353257166276453,0.651088638985811,obs,100
96,ReachObs_Random,wrist+l_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.32396809076162947,0.5511338293284338,obs,40
97,ReachObs_Random,wrist+l_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.39618650112834203,0.6183961421548482,obs,64
98,ReachObs_Random,wrist+l_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.4764974058742177,0.7270576542736592,obs,100
99,ReachObs_Random,wrist+l_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.2728531554748836,0.3980546047778212,obs,40
100,ReachObs_Random,wrist+l_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.3374082995883048,0.6054575024067124,obs,64
101,ReachObs_Random,wrist+l_shoulder,500,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.40039217643989417,0.6587564500223962,obs,100
102,ReachObs_Random,wrist+l_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.39770975486549776,0.5997291976344059,obs,40
103,ReachObs_Random,wrist+l_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.3037434739961887,0.5957468061425042,obs,64
104,ReachObs_Random,wrist+l_shoulder,1000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.29664311859950226,0.48592063925156737,obs,100
105,ReachObs_Random,wrist+l_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.35414974412852046,0.7081717402183891,obs,40
106,ReachObs_Random,wrist+l_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",4,0.2671756950343375,0.5136895823066336,obs,64
107,ReachObs_Random,wrist+l_shoulder,2000,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.47997483925509216,0.6968281597550654,obs,100
108,ReachObs_Random,l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.2954461263458658,0.3043866179807442,obs,40
109,ReachObs_Random,l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.4366003539908787,0.47575460466907343,obs,64
110,ReachObs_Random,l_shoulder+r_shoulder,50,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.40205942131723144,0.5426384262853475,obs,100
111,ReachObs_Random,l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.1703353451890681,0.23217158740417668,obs,40
112,ReachObs_Random,l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.29269343146278554,0.36299376466146793,obs,64
113,ReachObs_Random,l_shoulder+r_shoulder,100,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.23602118203897637,0.25514949059913966,obs,100
114,ReachObs_Random,l_shoulder+r_shoulder,200,10,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.25456162910192326,0.26923186218133094,obs,40
