,Unnamed: 0.1,Unnamed: 0,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance,agent
60,60.0,1,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.3469350250520516,0.1896193895849404,0.15608158370724,0.333217358075601,
61,61.0,6,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,200,1.0,0.0,0.2805263605633804,0.1898985100932993,0.2854330102143513,0.3830977133369487,
62,62.0,11,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,600,2.0,0.0,0.1855225065779412,0.1359601209920199,0.2766482299714206,0.3552722323860844,
63,63.0,16,3790,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,800,1.0,0.0,0.2398300238261942,0.1711533101976053,0.2588534803721768,0.2754927093696835,
64,64.0,3,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0.0,0.0,0.2449296434393825,0.225244468510745,0.2954223677675248,0.3138564366798451,
65,65.0,4,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,1.0,0.0,0.1399025549003484,0.1128754815695697,0.1919579024020696,0.2818148573796032,
66,66.0,8,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0.0,0.0,0.1020411577364144,0.0929274721652218,0.2018551284697646,0.2297243228488669,
67,67.0,9,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.1191362448389321,0.0966967575577578,0.2050409692897096,0.2421127291616261,
68,68.0,13,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,1.0,0.0,0.1050868249171117,0.0973605204235975,0.2086785458589783,0.2309420268665935,
69,69.0,14,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.1696453294235695,0.113297838686706,0.1475036052929243,0.1923463099517675,
70,70.0,18,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0.0,0.0,0.1289089770962002,0.1032945569665804,0.1743672357621161,0.2202763676126827,
71,71.0,19,3790,FuseConfig.W_D_L_R,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.1690348026883328,0.1217535229275405,0.1738036822573868,0.2259680011578046,
