,Unnamed: 0.1,Unnamed: 0,seed,config,error,task_name,demo_idx,cam_type,epochs,is_control_done,is_test_done,control_final_distance,control_min_distance,test_final_distance,test_min_distance,control_gripper_image_paths,test_gripper_image_paths
2881,2881.0,121,6689,FuseConfig.WDLR,False,Vision_Random,1.0,l_shoulder+r_shoulder,600,False,False,0.2997218216742314,0.2958928888075033,0.5588410488908365,0.5588410488908365,"['outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10']","['outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11']"
2882,2882.0,122,6689,FuseConfig.WDLR,False,Vision_Random,2.0,l_shoulder+r_shoulder,600,False,False,0.5173408294441675,0.5173408294441675,0.3606423658361024,0.3204282330550438,"['outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10', 'outputs/run-grasp-with-agent/_June09_08-10']","['outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11']"
2883,2883.0,123,6689,FuseConfig.WDLR,False,Vision_Random,3.0,l_shoulder+r_shoulder,600,True,False,0.1023149936910667,0.1023149936910667,0.6190933720298177,0.5535461535514397,['outputs/run-grasp-with-agent/_June09_08-10'],"['outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11']"
2884,2884.0,124,6689,FuseConfig.WDLR,False,Vision_Random,4.0,l_shoulder+r_shoulder,600,False,False,0.0664657943093382,0.0664636774796018,0.203136041823068,0.203136041823068,[],"['outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11']"
2885,2885.0,125,6689,FuseConfig.WDLR,False,Vision_Random,5.0,l_shoulder+r_shoulder,600,False,False,0.3785475036013618,0.1742832497941902,0.5628119829437926,0.5628119829437926,[],"['outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11']"
2886,2886.0,126,6689,FuseConfig.WDLR,False,Vision_Random,6.0,l_shoulder+r_shoulder,600,True,False,0.1290871448823781,0.1277864868993565,0.4510824485995373,0.3922144084524099,['outputs/run-grasp-with-agent/_June09_08-10'],"['outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11', 'outputs/run-grasp-with-agent/_June09_08-11']"
