,Unnamed: 0,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
75,1,3790,FuseConfig.Wfilm_D_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.2679157154798693,0.17204369955761,0.1825744935393755,0.3192780335253354
76,6,3790,FuseConfig.Wfilm_D_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.3283158973251247,0.2155458879498228,0.2083071372539017,0.3276196679189253
77,11,3790,FuseConfig.Wfilm_D_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.3230979952055345,0.2287355749152357,0.1903162374581163,0.3267907154174251
78,16,3790,FuseConfig.Wfilm_D_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.2578756550740139,0.1833632988932935,0.1936721678985967,0.295950353696741
79,21,3790,FuseConfig.Wfilm_D_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.260513648338759,0.1717396303732674,0.1587849034434834,0.2838923296729463
80,1,3790,FuseConfig.Wfilm_Dfilm_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.3539221353498789,0.1800447827628336,0.1743887803387466,0.3826982325408419
81,6,3790,FuseConfig.Wfilm_Dfilm_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2830080084284336,0.1494155613792515,0.1309592795742273,0.2835300805360041
82,11,3790,FuseConfig.Wfilm_Dfilm_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.2959852834600287,0.1732105771386342,0.1539313872389756,0.3495198334085297
83,16,3790,FuseConfig.Wfilm_Dfilm_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,1.0,0.0,0.2361444017803208,0.1583209491731193,0.2017058509590585,0.3533411764151849
84,21,3790,FuseConfig.Wfilm_Dfilm_LATE,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.3379799348981031,0.23866205563552,0.2010863605974748,0.2829329916667163
