67,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
35,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.30751540121788623,0.1591444846347854,98,[]
36,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.19525072054571632,0.12022191267829598,98,[]
37,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.42602238701870726,0.33719350734242165,98,[]
38,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.36259845294213316,0.18405416764819219,98,[]
39,Vision_Random,agent-policy:rnn_grasp_policy-cams:r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.3389082020623701,0.20230144453978408,98,[]
40,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.349234267167196,0.2336467369619708,98,[]
41,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.2725221745601623,0.07799604937752781,98,"['outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55']"
42,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.17500381851613284,0.11171111445902085,98,[]
43,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.08581333201557159,0.08432943202188707,98,[]
44,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.2623601128489098,0.1328309866685843,98,"['outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55', 'outputs/run-grasp-with-agent/_May26_10-55']"
45,Vision_Random,agent-policy:rnn_grasp_policy-cams:l_shoulder+r_shoulder+wrist_depth-policy:rnn_grasp_policy-merge_feats:{'config': 'attn'},control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.07586449872661107,0.07462841227707515,98,['outputs/run-grasp-with-agent/_May26_10-55']
