,Unnamed: 0,rep,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
47,31,0,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,2000,2.0,0.0,0.2120544811370395,0.1559466674086183,0.1276140061058159,0.1984317723191938
48,34,0,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0.0,0.0,0.3064243048675964,0.1323364710510373,0.1275578282553119,0.2868419873268413
49,1,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,100,1.0,0.0,0.1312366584464911,0.1162184009101147,0.1264382181770183,0.2086610712371646
50,4,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.1558947915236773,0.144932085388563,0.1369490120198378,0.1574919963375659
51,6,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,150,0.0,0.0,0.131048143770414,0.1044660065313646,0.1186855686702889,0.1775609817045054
52,9,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,1.0,0.0,0.1204297722719724,0.1174151864865195,0.1055999041984108,0.1369410918109689
53,11,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,200,1.0,0.0,0.141033182130192,0.0895130783835273,0.1185564561399436,0.2293968562897593
54,14,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.1114069346819058,0.0890381883687046,0.1150605713159018,0.3031654751680858
55,16,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,400,1.0,0.0,0.1120235104190983,0.081617753668127,0.1226151460546988,0.2055623766499088
56,19,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.1642933091498729,0.13297307913724,0.1267839813939065,0.2183467877094765
57,21,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,500,1.0,0.0,0.1455351909793792,0.1217904397936535,0.126135060319357,0.1939395939088771
58,24,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1.0,0.0,0.1198038779434657,0.1102895316678692,0.1367742419792999,0.2335976369385337
59,26,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,1000,0.0,0.0,0.1188461500006526,0.1042813782371531,0.1269875876840029,0.24045081558483
60,29,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,1.0,0.0,0.1102402326431203,0.099184317840897,0.1145045312406085,0.2279607083578524
61,31,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,2000,1.0,0.0,0.1957931582174713,0.1203548198383964,0.1163711859381102,0.2069071247258684
62,34,0,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0.0,0.0,0.16575917741427,0.0974945749192334,0.1165431725110864,0.2566525146892666
63,1,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.2305985220076412,0.217387207846684,0.1267195673181124,0.1760361963237478
64,4,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,3.0,0.0,0.1768486000860341,0.1430228345768951,0.1244015748626026,0.22623720042054
65,6,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,150,3.0,0.0,0.1659783027901868,0.1411931994275464,0.1214604247709124,0.1854618341477269
66,9,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,3.0,2.0,0.21163427628457,0.1494355793950221,0.1147308898211949,0.2345479497754138
67,11,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,200,1.0,0.0,0.2022360704236541,0.185664006810872,0.1238707695266624,0.1849819795316541
68,14,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,1.0,0.2315715422484864,0.1880761281256596,0.1162244164631901,0.2045073456145563
69,16,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.2972204319072861,0.2797545956402097,0.129077735928279,0.1764930264392654
70,19,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,2.0,0.0,0.1990483985885038,0.133946094048185,0.1091203359612174,0.2014844075091129
71,21,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,500,7.0,0.0,0.1533878048046237,0.1443588500764915,0.124290135085212,0.1790116926420739
72,24,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,3.0,0.0,0.135640413548125,0.1053829817289878,0.1162748629361093,0.2361986806084959
73,26,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,1000,1.0,0.0,0.1200368098891149,0.1154401700471477,0.1170447259124736,0.1893773797227768
74,29,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,1.0,2.0,0.1950882370424123,0.1498195544187698,0.1145087822564226,0.2040951629831143
75,31,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+wrist_depth,2000,2.0,0.0,0.2427420965949921,0.2086490394243643,0.1228917177498272,0.201692434390143
76,34,0,FuseConfig.DEPTH_FEATS_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,3.0,0.0,0.1494732903680349,0.1023297533218488,0.107634117014167,0.2623390687433187
77,4,0,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.1113409240423785,0.1061817265860764,0.1643591481030582,0.2588932642596165
78,9,0,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0.0,0.0,0.1129027219967531,0.1032245503418244,0.1622073054083555,0.2409652979092985
79,14,0,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.1586193074294073,0.1338118279358036,0.1441669377045889,0.2127098348330383
80,19,0,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,1.0,0.0,0.1083305309259912,0.1043679348796392,0.1235586890533288,0.1878934563873709
81,24,0,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,1.0,0.0,0.115303899853498,0.0971661609340556,0.1208977028548429,0.1800848515885891
82,29,0,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0.0,0.0,0.1277088433770162,0.0882197897817751,0.1233921987576939,0.2938292217655806
83,34,0,FuseConfig.WD_LR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,0.0,0.0,0.1702570769548836,0.1026986141338554,0.115469904591584,0.2513149578514672
84,4,0,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,3.0,0.0,0.1311436133303746,0.0962932362010171,0.1099014563821269,0.2928531998665979
85,9,0,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,150,0.0,1.0,0.1512587941965172,0.1239411580114332,0.103469777376057,0.166937502169582
86,14,0,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,2.0,3.0,0.1979715099607461,0.1718040549233501,0.1157020938853462,0.1855137454762083
87,19,0,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,4.0,2.0,0.0965571302389786,0.0902836301791502,0.1138901089969622,0.176949652071888
88,24,0,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,500,4.0,0.0,0.1705760392558599,0.1078913459687724,0.117663652231524,0.2036740656473151
89,29,0,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,1000,0.0,0.0,0.1624706524972511,0.1049304825190736,0.1118694842050769,0.2344205400162594
90,34,0,FuseConfig.WD_LR_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,2000,2.0,1.0,0.2347017850975759,0.1487251644252817,0.1104209812367313,0.2292275124631295
91,1,0,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.2806286746200126,0.2764006693309771,0.1523773179436628,0.1936361304026854
92,6,0,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,150,0.0,0.0,0.4793245869077694,0.3714778885834103,0.1406425596876388,0.2048924416870189
93,11,0,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.3480670761142183,0.1330318495410627,0.1419815050797588,0.2911474500114541
94,16,0,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.3656354323318219,0.3608917005306896,0.2019034232639918,0.2034074388248351
95,21,0,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,500,0.0,0.0,0.1568719307550128,0.1261207190134932,0.1205296051675949,0.1951722155426082
96,26,0,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,1000,0.0,0.0,0.201255781245704,0.174058455809817,0.1348446203800857,0.2367778092120525
97,31,0,FuseConfig.Wfilm_D,False,Vision_Random,wrist+wrist_depth,2000,0.0,0.0,0.2539293851186774,0.1654099881179695,0.1264104256216451,0.247061563234149
98,1,0,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.1541184878633576,0.1414761781124345,0.1777018949366253,0.180434866008136
99,6,0,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,150,1.0,1.0,0.1454780569121736,0.1370376944390707,0.1367116015594473,0.1398627176901919
100,11,0,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.3239399172858553,0.3239399172858553,0.2381507198374578,0.2381507198374578
101,16,0,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.1177029922707486,0.1010217544952708,0.1191646326183152,0.2467471019632622
102,21,0,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,500,0.0,0.0,0.1512714250684534,0.1106782986018199,0.1366536410997446,0.3311293550419208
103,26,0,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,1000,0.0,0.0,0.4149014930678085,0.4149014930678085,0.2600803230542791,0.2600803230542791
104,31,0,FuseConfig.W_Dfilm,False,Vision_Random,wrist+wrist_depth,2000,1.0,0.0,0.1984295411817802,0.1629949105101372,0.1286187460127233,0.2200930254334647
105,1,0,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.3217394409507341,0.3211960329011122,0.23106559698739,0.2344798211102403
106,6,0,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,150,0.0,0.0,0.1670351063173807,0.1507611434666885,0.1325128716843242,0.2295361595996936
107,11,0,FuseConfig.Wfilm_Dfilm,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2792413463128549,0.2769648556165996,0.1446693004578321,0.1609103221632685
