,task_name,epochs,cam_type,repeat_idx,demo_count,control_done,min_distance,final_distance,dataset_type,grasp_loss_lambda,control_gripper_image_paths
94,Vision_Static,100,wrist+wrist_depth,4,1,False,0.1907977963151686,0.19516096773347635,demo,1.2,[]
95,Vision_Static,100,wrist+wrist_depth,5,1,False,0.14266714890760154,0.14653596892489323,demo,1.2,[]
96,Vision_Static,100,wrist+wrist_depth,6,1,False,0.20949987205280113,0.20949987205280113,demo,1.2,[]
97,Vision_Static,100,wrist+wrist_depth,7,1,False,0.1317164669231761,0.13669055584245077,demo,1.2,[]
98,Vision_Static,100,wrist+wrist_depth,8,1,False,0.09940660865655161,0.11832120831587753,demo,1.2,[]
99,Vision_Static,100,wrist+wrist_depth,9,1,False,0.14347158454368208,0.14347158454368208,demo,1.2,[]
100,Vision_Static,100,l_shoulder+r_shoulder,0,1,True,0.12209452896650184,0.12209452896650184,demo,0.8,['outputs/run-grasp-with-agent/_June03_11-32']
101,Vision_Static,100,l_shoulder+r_shoulder,1,1,False,0.12166345155745617,0.12166345155745617,demo,0.8,[]
102,Vision_Static,100,l_shoulder+r_shoulder,2,1,True,0.12009317489320527,0.12112138722792644,demo,0.8,['outputs/run-grasp-with-agent/_June03_11-32']
103,Vision_Static,100,l_shoulder+r_shoulder,3,1,True,0.11283075883983174,0.11283075883983174,demo,0.8,['outputs/run-grasp-with-agent/_June03_11-32']
104,Vision_Static,100,l_shoulder+r_shoulder,4,1,True,0.11607650715214926,0.11607650715214926,demo,0.8,"['outputs/run-grasp-with-agent/_June03_11-32', 'outputs/run-grasp-with-agent/_June03_11-32']"
105,Vision_Static,100,l_shoulder+r_shoulder,5,1,True,0.11751588741747461,0.11751588741747461,demo,0.8,"['outputs/run-grasp-with-agent/_June03_11-32', 'outputs/run-grasp-with-agent/_June03_11-32', 'outputs/run-grasp-with-agent/_June03_11-32']"
106,Vision_Static,100,l_shoulder+r_shoulder,6,1,True,0.12078314067747445,0.12078314067747445,demo,0.8,['outputs/run-grasp-with-agent/_June03_11-32']
107,Vision_Static,100,l_shoulder+r_shoulder,7,1,True,0.1195663014613488,0.12074193564570848,demo,0.8,['outputs/run-grasp-with-agent/_June03_11-32']
108,Vision_Static,100,l_shoulder+r_shoulder,8,1,True,0.11871638723229222,0.11871638723229222,demo,0.8,['outputs/run-grasp-with-agent/_June03_11-32']
109,Vision_Static,100,l_shoulder+r_shoulder,9,1,True,0.11968223356012973,0.11968223356012973,demo,0.8,['outputs/run-grasp-with-agent/_June03_11-32']
110,Vision_Static,100,l_shoulder+r_shoulder,0,1,True,0.12496806194491948,0.12496806194491948,demo,0.9,['outputs/run-grasp-with-agent/_June03_11-32']
111,Vision_Static,100,l_shoulder+r_shoulder,1,1,False,0.12142989734155478,0.12142989734155478,demo,0.9,"['outputs/run-grasp-with-agent/_June03_11-32', 'outputs/run-grasp-with-agent/_June03_11-32']"
112,Vision_Static,100,l_shoulder+r_shoulder,2,1,True,0.12308647392909305,0.12308647392909305,demo,0.9,"['outputs/run-grasp-with-agent/_June03_11-32', 'outputs/run-grasp-with-agent/_June03_11-32']"
113,Vision_Static,100,l_shoulder+r_shoulder,3,1,True,0.1267996407037849,0.1267996407037849,demo,0.9,['outputs/run-grasp-with-agent/_June03_11-32']
114,Vision_Static,100,l_shoulder+r_shoulder,4,1,True,0.12503306865018116,0.12503306865018116,demo,0.9,['outputs/run-grasp-with-agent/_June03_11-32']
115,Vision_Static,100,l_shoulder+r_shoulder,5,1,True,0.12495000731421599,0.12495000731421599,demo,0.9,['outputs/run-grasp-with-agent/_June03_11-32']
116,Vision_Static,100,l_shoulder+r_shoulder,6,1,True,0.10749121960905932,0.10749121960905932,demo,0.9,['outputs/run-grasp-with-agent/_June03_11-32']
117,Vision_Static,100,l_shoulder+r_shoulder,7,1,True,0.12042719445899103,0.12042719445899103,demo,0.9,['outputs/run-grasp-with-agent/_June03_11-33']
118,Vision_Static,100,l_shoulder+r_shoulder,8,1,False,0.12352450589858917,0.12352450589858917,demo,0.9,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
119,Vision_Static,100,l_shoulder+r_shoulder,9,1,False,0.12293779312573255,0.12293779312573255,demo,0.9,['outputs/run-grasp-with-agent/_June03_11-33']
120,Vision_Static,100,l_shoulder+r_shoulder,0,1,True,0.1209821669756475,0.1209821669756475,demo,1.0,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
121,Vision_Static,100,l_shoulder+r_shoulder,1,1,True,0.12420231563707353,0.12420231563707353,demo,1.0,['outputs/run-grasp-with-agent/_June03_11-33']
122,Vision_Static,100,l_shoulder+r_shoulder,2,1,True,0.11675143641563408,0.11675143641563408,demo,1.0,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
123,Vision_Static,100,l_shoulder+r_shoulder,3,1,False,0.12441484645205148,0.12441484645205148,demo,1.0,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
124,Vision_Static,100,l_shoulder+r_shoulder,4,1,True,0.11859204032896853,0.11859204032896853,demo,1.0,['outputs/run-grasp-with-agent/_June03_11-33']
125,Vision_Static,100,l_shoulder+r_shoulder,5,1,True,0.12214333914019315,0.12214333914019315,demo,1.0,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
126,Vision_Static,100,l_shoulder+r_shoulder,6,1,True,0.12214906228518321,0.12214906228518321,demo,1.0,['outputs/run-grasp-with-agent/_June03_11-33']
127,Vision_Static,100,l_shoulder+r_shoulder,7,1,False,0.12426998789210585,0.12426998789210585,demo,1.0,['outputs/run-grasp-with-agent/_June03_11-33']
128,Vision_Static,100,l_shoulder+r_shoulder,8,1,True,0.10712140109254492,0.10712140109254492,demo,1.0,['outputs/run-grasp-with-agent/_June03_11-33']
129,Vision_Static,100,l_shoulder+r_shoulder,9,1,False,0.124232666050974,0.124232666050974,demo,1.0,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
130,Vision_Static,100,l_shoulder+r_shoulder,0,1,True,0.12601959373816873,0.12601959373816873,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
131,Vision_Static,100,l_shoulder+r_shoulder,1,1,True,0.12624691032338897,0.12624691032338897,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
132,Vision_Static,100,l_shoulder+r_shoulder,2,1,True,0.12431522486375476,0.12431522486375476,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
133,Vision_Static,100,l_shoulder+r_shoulder,3,1,True,0.12743579877208278,0.12743579877208278,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
134,Vision_Static,100,l_shoulder+r_shoulder,4,1,True,0.12464400851622247,0.12464400851622247,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
135,Vision_Static,100,l_shoulder+r_shoulder,5,1,True,0.12911210590094607,0.12913648869900743,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
136,Vision_Static,100,l_shoulder+r_shoulder,6,1,True,0.11256298718333872,0.11269923734899577,demo,1.1,['outputs/run-grasp-with-agent/_June03_11-33']
137,Vision_Static,100,l_shoulder+r_shoulder,7,1,False,0.12357940182863088,0.12357940182863088,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
138,Vision_Static,100,l_shoulder+r_shoulder,8,1,True,0.12024694847624427,0.12024694847624427,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
139,Vision_Static,100,l_shoulder+r_shoulder,9,1,False,0.12771148997694462,0.12825204562756018,demo,1.1,"['outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33', 'outputs/run-grasp-with-agent/_June03_11-33']"
