,task_name,epochs,cam_type,demo_count,done_count,avg_min_distance,avg_final_distance,dataset_type,grasp_loss_lambda
86,Vision_Static,150,wrist+l_shoulder+r_shoulder,1,1,0.12602018700560777,0.12826264343318977,demo,0.9
87,Vision_Static,150,wrist+l_shoulder+r_shoulder,1,1,0.1135328893481542,0.11441242537527405,demo,1.0
88,Vision_Static,150,wrist+l_shoulder+r_shoulder,1,3,0.11639572214039502,0.11821811259464068,demo,1.1
89,Vision_Static,150,wrist+l_shoulder+r_shoulder,1,2,0.10082075205783428,0.10175887391441493,demo,1.2
90,Vision_Static,150,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.15218383387019147,0.15474430935165306,demo,0.8
91,Vision_Static,150,wrist+l_shoulder+r_shoulder+wrist_depth,1,1,0.132822812298416,0.13730102079919104,demo,0.9
92,Vision_Static,150,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.13555043827781504,0.1388139897002721,demo,1.0
93,Vision_Static,150,wrist+l_shoulder+r_shoulder+wrist_depth,1,0,0.12849811180020557,0.1337513182313455,demo,1.1
94,Vision_Static,150,wrist+l_shoulder+r_shoulder+wrist_depth,1,2,0.13027446708012763,0.1354556355922825,demo,1.2
95,Vision_Static,150,wrist+r_shoulder,1,1,0.14306113934942608,0.1889204834092384,demo,0.8
96,Vision_Static,150,wrist+r_shoulder,1,0,0.14131163878323377,0.14667458605303726,demo,0.9
97,Vision_Static,150,wrist+r_shoulder,1,0,0.154113071579715,0.1714577356090266,demo,1.0
98,Vision_Static,150,wrist+r_shoulder,1,0,0.16260470818086412,0.18272861970073248,demo,1.1
99,Vision_Static,150,wrist+r_shoulder,1,0,0.14635072834484875,0.1574506251361134,demo,1.2
100,Vision_Static,150,wrist+l_shoulder,1,0,0.13341874993260391,0.13538711137044449,demo,0.8
101,Vision_Static,150,wrist+l_shoulder,1,0,0.12768844466551485,0.13529107280631644,demo,0.9
102,Vision_Static,150,wrist+l_shoulder,1,0,0.1260643180283336,0.12986414594351553,demo,1.0
103,Vision_Static,150,wrist+l_shoulder,1,0,0.124782292891497,0.14661532153322163,demo,1.1
104,Vision_Static,150,wrist+l_shoulder,1,0,0.11932443749072683,0.13191960563438473,demo,1.2
105,Vision_Static,200,wrist,1,0,0.25956055442283477,0.2608450961574714,demo,0.8
106,Vision_Static,200,wrist,1,0,0.2425831294223228,0.2425831294223228,demo,0.9
107,Vision_Static,200,wrist,1,0,0.23216669725676567,0.23219645989359217,demo,1.0
108,Vision_Static,200,wrist,1,0,0.22735988920492484,0.22735988920492484,demo,1.1
109,Vision_Static,200,wrist,1,0,0.1998277529301975,0.2004460976531933,demo,1.2
110,Vision_Static,200,wrist+wrist_depth,1,0,0.1284782218364304,0.14938705534119393,demo,0.8
111,Vision_Static,200,wrist+wrist_depth,1,0,0.10493921124764505,0.1236604279008651,demo,0.9
112,Vision_Static,200,wrist+wrist_depth,1,0,0.11139933761005776,0.1255039062384461,demo,1.0
113,Vision_Static,200,wrist+wrist_depth,1,0,0.09707318769053959,0.11864849729935063,demo,1.1
114,Vision_Static,200,wrist+wrist_depth,1,1,0.10035152820331375,0.11579833905934216,demo,1.2
115,Vision_Static,200,l_shoulder+r_shoulder,1,2,0.12241085578976754,0.12341032241014305,demo,0.8
116,Vision_Static,200,l_shoulder+r_shoulder,1,2,0.12395278036104537,0.1249712487299682,demo,0.9
117,Vision_Static,200,l_shoulder+r_shoulder,1,3,0.12319374077535843,0.12384180298915633,demo,1.0
118,Vision_Static,200,l_shoulder+r_shoulder,1,0,0.12402700517521748,0.12460177312933544,demo,1.1
119,Vision_Static,200,l_shoulder+r_shoulder,1,0,0.12615701430538076,0.12737480250042493,demo,1.2
120,Vision_Static,200,wrist+l_shoulder+r_shoulder,1,0,0.07291583758610051,0.08142159313569688,demo,0.8
121,Vision_Static,200,wrist+l_shoulder+r_shoulder,1,0,0.08402265036243588,0.10447161929457524,demo,0.9
122,Vision_Static,200,wrist+l_shoulder+r_shoulder,1,0,0.0981902984687259,0.140815413100375,demo,1.0
